codigo_municipio_dv_agrupado,municipio_agrupado,uf,ano,vitimas_feminicidio,vitimas_homicidio_doloso,vitimas_lesao_corporal_seguida_de_morte,Mandado de prisão cumprido,vitimas_transito_ou_decorrencia_dele,vitimas_sem_indicio_de_crime,vitimas_latrocinio,vitimas_suicidios,Tentativa de feminicídio,vitimas_tentativa_homicidio,vitimas_totais,ano_pib,codigo_municipio_dv,vl_agropecuaria,vl_industria,vl_servicos,vl_administracao,vl_bruto_total,vl_subsidios,vl_pib,vl_pib_per_capta,CO_MUNICIPIO,Total_Habitantes
5219753,SANTO ANTÔNIO DO DESCOBERTO,GO,2016,0.0,29.0,0.0,0.0,2.0,16.0,1.0,1.0,0.0,59.0,108.0,2016,5219753,14874.347,38695.374,231679.638,246847.212,532096.571,38530.814,570627.385,8042.67,5219753,72127
5219753,SANTO ANTÔNIO DO DESCOBERTO,GO,2017,0.0,41.0,1.0,0.0,2.0,12.0,4.0,1.0,0.0,37.0,98.0,2017,5219753,20259.004,44943.743,257382.728,291385.524,613970.999,39474.79,653445.789,9089.9,5219753,72127
5219753,SANTO ANTÔNIO DO DESCOBERTO,GO,2018,0.0,22.0,0.0,0.0,11.0,9.0,2.0,3.0,1.0,32.0,79.0,2018,5219753,16687.279,43075.947,282055.386,304911.611,646730.223,44310.235,691040.459,9384.55,5219753,72127
5219753,SANTO ANTÔNIO DO DESCOBERTO,GO,2019,0.0,28.0,0.0,0.0,6.0,4.0,0.0,4.0,4.0,31.0,73.0,2019,5219753,18008.169,49780.756,290750.538,347163.658,705703.121,47699.494,753402.615,10079.77,5219753,72127
5219753,SANTO ANTÔNIO DO DESCOBERTO,GO,2020,0.0,28.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,23.0,64.0,2020,5219753,25983.777,52946.189,276829.946,339947.38,695707.292,47639.588,743346.88,9802.94,5219753,72127
5219753,SANTO ANTÔNIO DO DESCOBERTO,GO,2021,0.0,18.0,0.0,0.0,7.0,6.0,1.0,9.0,0.0,31.0,72.0,2021,5219753,35623.236,56200.917,310980.806,363017.67,765822.63,59795.674,825618.304,10740.31,5219753,72127
5220009,SÃO JOÃO D'ALIANÇA,GO,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5220009,105873.162,13435.84,56253.465,42523.017,218085.484,11015.747,229101.231,18981.05,5220009,14041
5220009,SÃO JOÃO D'ALIANÇA,GO,2016,0.0,3.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,12.0,29.0,2016,5220009,137216.811,14207.999,74185.995,44697.331,270308.136,16168.082,286476.218,23177.69,5220009,14041
5220009,SÃO JOÃO D'ALIANÇA,GO,2017,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,12.0,2017,5220009,138007.985,14058.305,80413.981,49992.974,282473.245,16611.736,299084.981,23656.17,5220009,14041
5220009,SÃO JOÃO D'ALIANÇA,GO,2018,0.0,1.0,2.0,0.0,6.0,1.0,0.0,2.0,0.0,3.0,15.0,2018,5220009,123575.766,13855.498,80803.921,58530.101,276765.287,16156.91,292922.197,21881.09,5220009,14041
5220009,SÃO JOÃO D'ALIANÇA,GO,2019,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,8.0,15.0,2019,5220009,201762.076,19450.08,95666.39,66293.369,383171.915,18763.199,401935.114,29252.92,5220009,14041
5220009,SÃO JOÃO D'ALIANÇA,GO,2020,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,10.0,2020,5220009,253879.349,19872.345,91293.9,64397.158,429442.752,19011.727,448454.479,31839.15,5220009,14041
5220009,SÃO JOÃO D'ALIANÇA,GO,2021,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,2021,5220009,336038.456,23535.299,111922.696,70264.941,541761.39,28227.137,569988.528,39519.42,5220009,14041
5220686,SIMOLÂNDIA,GO,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5220686,6341.724,4707.693,41601.089,24767.678,77418.183,8759.309,86177.492,12610.11,5220686,5742
5220686,SIMOLÂNDIA,GO,2016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2016,5220686,8559.521,4399.054,42514.347,25861.371,81334.294,9344.681,90678.975,13212.73,5220686,5742
5220686,SIMOLÂNDIA,GO,2017,0.0,5.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,19.0,2017,5220686,6089.316,4266.731,51002.783,25818.604,87177.434,11197.43,98374.864,14275.85,5220686,5742
5220686,SIMOLÂNDIA,GO,2018,0.0,3.0,0.0,0.0,5.0,6.0,0.0,4.0,0.0,3.0,21.0,2018,5220686,7444.004,4387.532,52763.607,27645.533,92240.677,11755.941,103996.617,15221.99,5220686,5742
5220686,SIMOLÂNDIA,GO,2019,0.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,12.0,2019,5220686,8794.146,12494.854,55858.048,30169.611,107316.66,14060.198,121376.858,17703.74,5220686,5742
5220686,SIMOLÂNDIA,GO,2020,0.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,8.0,20.0,2020,5220686,12424.271,27314.166,58534.233,31132.953,129405.623,16259.159,145664.782,21175.28,5220686,5742
5220686,SIMOLÂNDIA,GO,2021,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,8.0,2021,5220686,15016.633,34732.288,67787.249,34200.23,151736.399,21580.762,173317.161,25136.64,5220686,5742
5221858,VALPARAÍSO DE GOIÁS,GO,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5221858,445.996,268200.384,1166764.688,520686.722,1956097.79,199067.166,2155164.956,14062.61,5221858,198861
5221858,VALPARAÍSO DE GOIÁS,GO,2016,0.0,24.0,0.0,0.0,2.0,10.0,2.0,3.0,0.0,31.0,72.0,2016,5221858,426.14,287229.241,1242587.468,551675.13,2081917.979,213686.837,2295604.815,14676.0,5221858,198861
5221858,VALPARAÍSO DE GOIÁS,GO,2017,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,8.0,2017,5221858,465.636,282788.48,1357515.024,622383.113,2263152.252,230210.892,2493363.144,15632.37,5221858,198861
5221858,VALPARAÍSO DE GOIÁS,GO,2018,1.0,40.0,1.0,0.0,4.0,7.0,1.0,2.0,2.0,33.0,89.0,2018,5221858,493.154,282489.425,1350138.891,664419.904,2297541.375,228743.361,2526284.736,15336.56,5221858,198861
5221858,VALPARAÍSO DE GOIÁS,GO,2019,1.0,30.0,0.0,0.0,3.0,1.0,0.0,2.0,6.0,6.0,43.0,2019,5221858,627.245,316111.993,1420052.316,745419.975,2482211.53,248924.974,2731136.504,16211.6,5221858,198861
